ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
134009,BAM-1813,Fixed,120,5433,5433,247494,NULL
134026,BAM-1792,Fixed,240,55965,55965,595208,NULL
134028,BAM-1789,Fixed,720,0,0,15594,NULL
134035,BAM-1782,Fixed,960,0,0,7158,NULL
134039,BAM-1777,Fixed,150,1237,1237,1251,NULL
134061,BAM-1732,Fixed,301,2,2,99,NULL
134062,BAM-1731,Fixed,37,0,0,332,NULL
134200,BAM-1543,Fixed,180,133165,133178,1270402,NULL
134239,BAM-1477,Fixed,300,0,0,58,NULL
134245,BAM-1469,Fixed,660,0,9028,908347,NULL
134278,BAM-1427,Fixed,240,1202,1202,804287,NULL
134367,BAM-1314,Fixed,300,0,0,416567,NULL
134502,BAM-1141,Fixed,19,11416,21274,2264801,NULL
134619,BAM-991,Fixed,7200,0,0,289968,NULL
134680,BAM-925,Fixed,60,0,0,58,NULL
134687,BAM-918,Fixed,300,0,0,5042,NULL
134713,BAM-889,Fixed,300,0,0,11645,NULL
134756,BAM-837,Fixed,30,0,0,4496,NULL
134774,BAM-809,Fixed,120,0,0,4574,NULL
134776,BAM-807,Fixed,120,0,0,11985,NULL
134781,BAM-801,Fixed,120,0,0,8474,NULL
134786,BAM-796,Fixed,120,0,0,15249,NULL
134804,BAM-778,Fixed,240,0,0,19357,NULL
134808,BAM-770,Fixed,240,0,0,24136,NULL
134817,BAM-759,Fixed,120,0,0,8461,NULL
134834,BAM-740,Fixed,480,2949,2949,4503,NULL
134835,BAM-739,Fixed,480,3162,3162,4359,NULL
134843,BAM-728,Fixed,30,0,0,8938,NULL
134855,BAM-714,Fixed,240,0,0,1,NULL
134866,BAM-700,Fixed,240,0,0,33184,NULL
134868,BAM-697,Fixed,180,210,210,5860,NULL
134872,BAM-693,Fixed,60,121,121,7169,NULL
134875,BAM-690,Fixed,60,0,0,46204,NULL
134876,BAM-689,Fixed,30,0,0,27551,NULL
134879,BAM-685,Fixed,30,26,26,8805,NULL
134880,BAM-684,Fixed,300,0,0,6283,NULL
134895,BAM-666,Fixed,480,0,0,32080,NULL
134897,BAM-661,Fixed,300,263,263,326,NULL
134898,BAM-659,Fixed,60,0,0,13863,NULL
134899,BAM-658,Fixed,120,0,0,12806,NULL
134900,BAM-657,Fixed,60,0,0,4116,NULL
134906,BAM-644,Fixed,240,6260,6260,6262,NULL
134911,BAM-637,Fixed,30,280,280,372,NULL
134913,BAM-635,Fixed,180,15880,15880,18308,NULL
134917,BAM-631,Fixed,360,1437,1437,2480,NULL
134918,BAM-630,Fixed,150,241,241,1221,NULL
134924,BAM-622,Fixed,60,0,0,20158,NULL
134925,BAM-621,Fixed,120,0,0,53218,NULL
134932,BAM-612,Fixed,5,0,0,8701,NULL
134936,BAM-608,Fixed,180,117,117,22269,NULL
134958,BAM-579,Fixed,60,0,0,32433,NULL
134961,BAM-575,Fixed,240,0,0,70172,NULL
134967,BAM-569,Fixed,90,56,56,21761,NULL
134973,BAM-563,Fixed,30,300,300,21756,NULL
134986,BAM-542,Fixed,480,353,353,44621,NULL
135152,BAM-331,Fixed,300,8364,8364,8571,NULL
135215,BAM-244,Fixed,960,0,0,7451,NULL
135217,BAM-235,Fixed,180,0,0,3366,NULL
135234,BAM-207,Fixed,40,0,0,28,NULL
135239,BAM-194,Fixed,3840,11651,11651,19011,NULL
135240,BAM-192,Fixed,300,1235,1235,50235,NULL
135243,BAM-189,Fixed,15,0,0,29956,NULL
135251,BAM-178,Fixed,15,0,0,207288,NULL
135252,BAM-171,Fixed,210,0,0,208713,NULL
135255,BAM-166,Fixed,1440,10320,10320,10326,NULL
135257,BAM-162,Fixed,360,1490,1490,189706,NULL
135268,BAM-141,Fixed,8460,128183,128183,130938,NULL
135269,BAM-140,Fixed,45,43,43,220176,NULL
135277,BAM-129,Fixed,10,0,0,30670,NULL
135285,BAM-113,Fixed,240,4105,4105,26861,NULL
135292,BAM-98,Fixed,60,0,0,248744,NULL
135293,BAM-97,Fixed,780,10482,10482,47634,NULL
135302,BAM-88,Fixed,480,0,0,258636,NULL
135303,BAM-87,Fixed,240,0,0,1394,NULL
135305,BAM-84,Fixed,30,0,0,261827,NULL
135308,BAM-81,Fixed,120,0,0,265970,NULL
135309,BAM-80,Fixed,30,23,23,268925,NULL
135311,BAM-78,Fixed,60,0,0,269180,NULL
135312,BAM-77,Fixed,30,0,0,270304,NULL
135313,BAM-76,Fixed,60,0,0,270306,NULL
135314,BAM-75,Fixed,30,0,0,270308,NULL
135322,BAM-67,Fixed,15,0,0,271955,NULL
135331,BAM-58,Fixed,2880,0,0,584938,NULL
135358,BAM-29,Fixed,90,0,0,137295,NULL
135359,BAM-28,Fixed,10,0,0,379678,NULL
